model,accuracy,precision,recall,f1,auroc,ap,threshold
rf_l1,0.9222885115496405,0.5442942942942943,0.6393298059964727,0.5879967558799676,0.9360395820962544,0.6557560070245224,0.23
gb_l1,0.9318494722349702,0.6142991533396049,0.5758377425044092,0.594446973145198,0.9355557918930336,0.6700760195373665,0.2777190795148197
svm_l1,0.9203763194125746,0.5350414468726451,0.6261022927689595,0.5770012190166599,0.9300587298633083,0.5548067147713527,0.3130035950064954
logreg_l1,0.9134924277191372,0.5010814708002884,0.6128747795414462,0.5513685045616818,0.9131885913990884,0.5513664437835079,0.776652128388151
