model,accuracy,precision,recall,f1,auroc,ap,threshold
xgb,0.9274896741624599,0.572884012539185,0.644620811287478,0.6066390041493775,0.9418056626459753,0.681607733475455,0.7671536207199097
gb,0.9288664525011473,0.5860033726812817,0.6128747795414462,0.5991379310344828,0.9356996623328282,0.6710687284316654,0.24777002432100356
rf,0.9271837234205293,0.5763422818791947,0.6058201058201058,0.5907136715391229,0.9356270624137738,0.6569691609123031,0.24333333333333335
svm_rbf,0.9201468563561267,0.532798833819242,0.644620811287478,0.5833998403830806,0.9296336178245725,0.5505172757982901,0.29907770495072655
logreg,0.906990974453113,0.4740177439797212,0.6596119929453262,0.551622418879056,0.9136111923521193,0.5528727530692185,0.7330670675634824
